Frame,Person,FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight
299,0,920,87,136,136
299,1,294,127,113,113
299,1,916,501,95,95
299,2,305,484,114,114
301,0,920,87,136,136
301,1,294,127,113,113
301,1,907,501,95,95
301,2,305,484,114,114
303,0,920,87,136,136
303,1,907,501,95,95
303,1,294,127,113,113
303,2,305,484,114,114
305,0,920,87,136,136
305,1,907,501,95,95
305,1,294,127,113,113
305,2,305,484,114,114
307,0,920,87,136,136
307,1,294,127,113,113
307,1,907,501,95,95
307,2,294,484,113,114
309,0,920,87,136,136
309,1,907,501,95,95
309,2,294,484,113,114
309,1,294,127,113,113
311,0,920,87,136,136
311,2,282,495,114,114
311,1,924,508,79,79
311,1,294,127,113,113
313,0,920,87,136,136
313,2,271,495,113,114
313,1,907,511,95,95
313,1,294,127,113,113
315,0,927,104,114,113
315,2,271,484,113,114
315,1,907,511,95,95
315,1,294,127,113,113
317,0,927,104,114,113
317,2,273,501,95,95
317,1,294,127,113,113
317,1,907,511,95,95
319,0,920,100,136,137
319,2,271,484,113,114
319,1,916,501,95,95
319,1,294,127,113,113
321,0,920,100,136,137
321,2,283,501,95,95
321,1,916,516,79,79
321,1,294,127,113,113
323,0,920,100,136,137
323,2,283,501,95,95
323,1,294,127,113,113
323,1,916,516,79,79
325,0,920,100,136,137
325,2,271,495,113,114
325,1,897,511,95,95
325,1,294,127,113,113
327,0,920,100,136,137
327,2,283,492,95,94
327,1,294,127,113,113
327,1,897,511,95,95
329,0,920,100,136,137
329,2,283,492,95,94
329,1,294,127,113,113
329,1,897,511,95,95
331,2,283,492,95,94
331,0,920,100,136,137
331,1,897,511,95,95
331,1,294,127,113,113
333,2,283,492,95,94
333,0,920,100,136,137
333,1,897,511,95,95
333,1,284,100,136,137
335,2,283,492,95,94
335,0,920,100,136,137
335,1,907,511,95,95
335,1,284,100,136,137
337,2,283,492,95,94
337,0,920,100,136,137
337,1,916,501,95,95
337,1,284,100,136,137
339,2,283,492,95,94
339,0,920,100,136,137
339,1,916,501,95,95
339,1,294,127,113,113
341,0,920,100,136,137
341,1,916,501,95,95
341,2,283,492,95,94
341,1,294,127,113,113
343,1,924,508,79,79
343,0,920,100,136,137
343,2,293,482,94,95
343,1,284,100,136,137
345,0,920,100,136,137
345,1,907,501,95,95
345,2,293,482,94,95
345,1,294,127,113,113
347,1,907,501,95,95
347,0,920,100,136,137
347,2,293,482,94,95
347,1,284,100,136,137
349,2,293,492,94,94
349,0,920,100,136,137
349,1,907,511,95,95
349,1,284,100,136,137
351,2,293,492,94,94
351,0,920,100,136,137
351,1,924,508,79,79
351,11,294,127,113,113
353,0,920,100,136,137
353,2,293,492,94,94
353,1,924,508,79,79
353,11,294,127,113,113
355,0,920,100,136,137
355,2,293,492,94,94
355,1,924,508,79,79
355,1,294,127,113,113
357,2,293,492,94,94
357,0,927,104,114,113
357,1,294,127,113,113
